,Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money
863,JpKofun-1,['Kansai'],Kofun period in Kansai region,249.0,298.0,,4000,,3,,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.1,1.0,,0.1,0.1,1.0,1.0,0.0,1.0,1.0,,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,1.0,0.1,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,,3.6020599913279625,,2.0,0.3727272727272727,0.4555555555555555,2.0,0.1111111111111111,4.0
864,JpKofun-10,['Kansai'],Kofun period in Kansai region,529.0,530.0,250000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.3979400086720375,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.5666666666666667,4.0,0.6666666666666666,4.0
865,JpKofun-11,['Kansai'],Kofun period in Kansai region,530.0,550.0,250000.0,100000,,4,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.3979400086720375,5.0,,2.3333333333333335,0.3727272727272727,0.5666666666666667,4.0,0.6666666666666666,4.0
866,JpKofun-12,['Kansai'],Kofun period in Kansai region,550.0,598.0,250000.0,100000,,4,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.3979400086720375,5.0,,2.3333333333333335,0.3727272727272727,0.5666666666666667,4.0,0.6666666666666666,4.0
867,JpKofun-13,['Kansai'],Kofun period in Kansai region,598.0,599.0,250000.0,100000,,4,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.3979400086720375,5.0,,2.3333333333333335,0.3727272727272727,0.5666666666666667,4.0,0.6666666666666666,4.0
868,JpKofun-14,['Kansai'],Kofun period in Kansai region,599.0,699.0,1500000.0,100000,,4,4.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,6.176091259055681,5.0,,2.6666666666666665,0.4636363636363636,0.5666666666666667,4.0,0.6666666666666666,4.0
869,JpKofun-15,['Kansai'],Kofun period in Kansai region,699.0,709.0,1750000.0,100000,,4,4.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,6.243038048686294,5.0,,2.6666666666666665,0.4636363636363636,0.5666666666666667,4.0,0.6666666666666666,4.0
870,JpKofun-2,['Kansai'],Kofun period in Kansai region,298.0,299.0,,4000,,3,,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.1,1.0,,0.1,0.1,1.0,1.0,0.0,1.0,1.0,,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,1.0,0.1,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,,3.6020599913279625,,2.0,0.3727272727272727,0.4555555555555555,2.0,0.1111111111111111,4.0
871,JpKofun-3,['Kansai'],Kofun period in Kansai region,299.0,398.0,150000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.1,1.0,,0.1,0.1,1.0,1.0,0.0,1.0,1.0,,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,1.0,0.1,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.176091259055681,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,2.0,0.1111111111111111,4.0
872,JpKofun-4,['Kansai'],Kofun period in Kansai region,398.0,399.0,150000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.1,1.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.176091259055681,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,2.0,0.4444444444444444,4.0
873,JpKofun-5,['Kansai'],Kofun period in Kansai region,399.0,448.0,200000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.301029995663981,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,2.0,0.4444444444444444,4.0
874,JpKofun-6,['Kansai'],Kofun period in Kansai region,448.0,449.0,200000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,0.0,0.1,0.1,0.1,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.301029995663981,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,2.0,0.4444444444444444,4.0
875,JpKofun-7,['Kansai'],Kofun period in Kansai region,449.0,498.0,200000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.301029995663981,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,4.0,0.6666666666666666,4.0
876,JpKofun-8,['Kansai'],Kofun period in Kansai region,498.0,499.0,200000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.301029995663981,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.4555555555555555,4.0,0.6666666666666666,4.0
877,JpKofun-9,['Kansai'],Kofun period in Kansai region,499.0,529.0,250000.0,4000,,3,3.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,0.1,,,1.0,,,,,1.0,0.1,1.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,,486,33.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,0.0,0.1,0.1,,,['53S'],['East Asia'],Asuka,quasipolity,Japanese,Japonic,Yayoi,continuity,Asuka,Initial Kofun Package,90000,,,,,,,tomb construction,once per generation,once per generation,once per generation,,,,,feast,not applicable,not applicable,seasonally,domestic rituals,,,,water management rituals,,,,,5.3979400086720375,3.6020599913279625,,2.3333333333333335,0.3727272727272727,0.5666666666666667,4.0,0.6666666666666666,4.0
878,JpNara-1,['Kansai'],Nara,699.0,709.0,5800000.0,,100000,5,,,4.0,,,0.0,1.0,1.0,1.0,1.0,1.0,land,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,50.59,100.0,1.0,1.0,,1.0,,,,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,1.0,0.0,786.0,['53S'],['East Asia'],Nara,unitary state,Old Japanese,Japonic,Asuka,continuity,Heian,T'ang China,5400000,vassalage,active,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,,,,,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.763427993562937,,5.0,4.0,0.7272727272727273,0.8888888888888888,4.0,0.8888888888888888,5.0
879,JpNara-2,['Kansai'],Nara,709.0,793.0,5800000.0,,100000,5,,,4.0,,,0.0,1.0,1.0,1.0,1.0,1.0,land,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,50.59,100.0,1.0,1.0,,1.0,,,,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,1.0,0.0,786.0,['53S'],['East Asia'],Nara,unitary state,Old Japanese,Japonic,Asuka,continuity,Heian,T'ang China,5400000,vassalage,active,1.0,1.0,0.1,,Aoi Matsuri,not applicable,yearly,yearly,,,,,Aoi Matsuri,not applicable,yearly,yearly,daily worship,not applicable,daily,daily,matsuri,not applicable,seasonally,seasonally,,6.763427993562937,,5.0,4.0,0.7272727272727273,0.8888888888888888,4.0,0.8888888888888888,5.0
880,JpSengk-1,['Kansai'],Warring States Period,1466.0,1499.0,15000000.0,15000,,4,6.0,1.0,4.0,40,,0.0,0.0,1.0,0.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,0.1,,1.0,1567.0,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese,Japonic,Ashikaga Shogunate,continuation,Unification Period,Japanese,,alliance,active,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.176091259055681,4.176091259055681,,3.6666666666666665,0.45454545454545453,0.8888888888888888,4.0,1.0,5.0
881,JpSengk-2,['Kansai'],Warring States Period,1499.0,1549.0,17000000.0,15000,40000,4,6.0,1.0,4.0,40,,0.0,0.0,1.0,0.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,0.1,,1.0,1567.0,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese,Japonic,Ashikaga Shogunate,continuation,Unification Period,Japanese,,alliance,active,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.230448921378274,4.176091259055681,4.6020599913279625,3.6666666666666665,0.45454545454545453,0.8888888888888888,4.0,1.0,5.0
882,JpSengk-3,['Kansai'],Warring States Period,1549.0,1567.0,17000000.0,15000,100000,4,6.0,1.0,4.0,40,,0.0,0.0,1.0,0.0,0.0,0.0,land,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,0.1,,1.0,1567.0,['53S'],['East Asia'],Kyoto,quasipolity,Middle Japanese,Japonic,Ashikaga Shogunate,continuation,Unification Period,Japanese,,alliance,active,1.0,1.0,0.1,,matsuri,seasonally,seasonally,seasonally,enemy head preparation,not applicable,,,matsuri,seasonally,seasonally,seasonally,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.230448921378274,4.176091259055681,5.0,3.6666666666666665,0.45454545454545453,0.8888888888888888,4.0,1.0,5.0
883,JpTokgw-1,['Kansai'],Tokugawa Shogunate,1599.0,1602.0,22000000.0,295000,,6,6.0,1.0,6.0,1418,,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,45,51.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1695.0,['53S'],['East Asia'],Kyoto,confederated state,Early Modern Japanese (17th–18th century),Japonic,Azuchi-Momoyama,Regime change,The Meiji Restoration,Japanese,,none,active,1.0,1.0,0.1,,Okage-mairi,not applicable,once per generation,once per generation,keppan kishomon,not applicable,,,Ise-odori,once per generation,not applicable,once per generation,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.342422680822207,5.469822015978163,,4.333333333333333,0.9090909090909091,1.0,4.0,1.0,6.0
884,JpTokgw-2,['Kansai'],Tokugawa Shogunate,1602.0,1649.0,22000000.0,295000,,6,6.0,1.0,6.0,1418,,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,45,51.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1695.0,['53S'],['East Asia'],Kyoto,confederated state,Early Modern Japanese (17th–18th century),Japonic,Azuchi-Momoyama,Regime change,The Meiji Restoration,Japanese,,none,active,1.0,1.0,0.1,,Okage-mairi,not applicable,once per generation,once per generation,keppan kishomon,not applicable,,,Ise-odori,once per generation,not applicable,once per generation,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.342422680822207,5.469822015978163,,4.333333333333333,0.9090909090909091,1.0,4.0,1.0,6.0
885,JpTokgw-3,['Kansai'],Tokugawa Shogunate,1649.0,1677.0,25000000.0,295000,,6,6.0,1.0,6.0,1418,,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,45,51.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1695.0,['53S'],['East Asia'],Kyoto,confederated state,Early Modern Japanese (17th–18th century),Japonic,Azuchi-Momoyama,Regime change,The Meiji Restoration,Japanese,,none,active,1.0,1.0,0.1,,Okage-mairi,not applicable,once per generation,once per generation,keppan kishomon,not applicable,,,Ise-odori,once per generation,not applicable,once per generation,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.3979400086720375,5.469822015978163,,4.333333333333333,0.9090909090909091,1.0,4.0,1.0,6.0
886,JpTokgw-4,['Kansai'],Tokugawa Shogunate,1677.0,1699.0,25000000.0,295000,570361,6,6.0,1.0,6.0,1418,,0.0,1.0,1.0,1.0,1.0,1.0,State salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,45,51.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1695.0,['53S'],['East Asia'],Kyoto,confederated state,Early Modern Japanese (17th–18th century),Japonic,Azuchi-Momoyama,Regime change,The Meiji Restoration,Japanese,,none,active,1.0,1.0,0.1,,Okage-mairi,not applicable,once per generation,once per generation,keppan kishomon,not applicable,,,Ise-odori,once per generation,not applicable,once per generation,daily worship,not applicable,daily,daily,matsuri,seasonally,seasonally,seasonally,,7.3979400086720375,5.469822015978163,5.756149821780951,4.333333333333333,0.9090909090909091,1.0,4.0,1.0,6.0
